,date,ticker,marketcap
1283,2/8/2024,ACLS,4003.4
1284,2/7/2024,ACLS,4306
1285,2/6/2024,ACLS,4251.3
1286,2/5/2024,ACLS,4263.7
1287,2/2/2024,ACLS,4310.2
1288,2/1/2024,ACLS,4279.8
1289,1/31/2024,ACLS,4258.8
1290,1/30/2024,ACLS,4368.8
1291,1/29/2024,ACLS,4401.9
1292,1/26/2024,ACLS,4299.4
1293,1/25/2024,ACLS,4463.8
1294,1/24/2024,ACLS,4588.2
1295,1/23/2024,ACLS,4562.7
1296,1/22/2024,ACLS,4515.2
1297,1/19/2024,ACLS,4310.9
1298,1/18/2024,ACLS,4115.4
1299,1/17/2024,ACLS,3940.8
1300,1/16/2024,ACLS,3917.6
1301,1/12/2024,ACLS,3737.1
1302,1/11/2024,ACLS,3760.1
1303,1/10/2024,ACLS,3801.3
1304,1/9/2024,ACLS,3934.6
1305,1/8/2024,ACLS,3961.5
1306,1/5/2024,ACLS,3858.6
1307,1/4/2024,ACLS,3803
1308,1/3/2024,ACLS,3959.8
1309,1/2/2024,ACLS,4084.3
1310,12/29/2023,ACLS,4247
1311,12/28/2023,ACLS,4334.5
1312,12/27/2023,ACLS,4362
1313,12/26/2023,ACLS,4440.2
1314,12/22/2023,ACLS,4369.5
1315,12/21/2023,ACLS,4414.7
1316,12/20/2023,ACLS,4215.9
1317,12/19/2023,ACLS,4459.5
1318,12/18/2023,ACLS,4416.3
1319,12/15/2023,ACLS,4456.6
1320,12/14/2023,ACLS,4598.7
1321,12/13/2023,ACLS,4306.3
1322,12/12/2023,ACLS,4132.4
1323,12/11/2023,ACLS,4112.4
1324,12/8/2023,ACLS,4017.8
1325,12/7/2023,ACLS,4016.5
1326,12/6/2023,ACLS,3995.8
1327,12/5/2023,ACLS,4079.4
1328,12/4/2023,ACLS,4097
1329,12/1/2023,ACLS,4121.6
1330,11/30/2023,ACLS,4069.9
1331,11/29/2023,ACLS,4098.3
1332,11/28/2023,ACLS,4118.3
1333,11/27/2023,ACLS,4201.2
1334,11/24/2023,ACLS,4203.5
1335,11/22/2023,ACLS,4195.9
1336,11/21/2023,ACLS,4165.1
1337,11/20/2023,ACLS,4311.9
1338,11/17/2023,ACLS,4323.3
1339,11/16/2023,ACLS,4461.2
1340,11/15/2023,ACLS,4510
1341,11/14/2023,ACLS,4507.4
1342,11/13/2023,ACLS,4237.2
1343,11/10/2023,ACLS,4300.1
1344,11/9/2023,ACLS,4080.7
1345,11/8/2023,ACLS,4267.6
1346,11/7/2023,ACLS,4238.5
1347,11/6/2023,ACLS,4233.3
1348,11/3/2023,ACLS,4293.5
1349,11/2/2023,ACLS,4192.7
1350,11/1/2023,ACLS,4184.2
1351,10/31/2023,ACLS,4184.2
1352,10/30/2023,ACLS,4143.7
1353,10/27/2023,ACLS,4530.1
1354,10/26/2023,ACLS,4553.1
1355,10/25/2023,ACLS,4639.4
1356,10/24/2023,ACLS,4911.5
1357,10/23/2023,ACLS,4746.9
1358,10/20/2023,ACLS,4745.1
1359,10/19/2023,ACLS,4788.7
1360,10/18/2023,ACLS,5144.8
1361,10/17/2023,ACLS,5288.9
1362,10/16/2023,ACLS,5350.9
1363,10/13/2023,ACLS,5262.9
1364,10/12/2023,ACLS,5397.2
1365,10/11/2023,ACLS,5501.8
1366,10/10/2023,ACLS,5421.1
1367,10/9/2023,ACLS,5251.1
1368,10/6/2023,ACLS,5321.4
1369,10/5/2023,ACLS,5216
1370,10/4/2023,ACLS,5262.6
1371,10/3/2023,ACLS,5203.5
1372,10/2/2023,ACLS,5337.1
1373,9/29/2023,ACLS,5350.9
1374,9/28/2023,ACLS,5305.6
1375,9/27/2023,ACLS,5179.3
1376,9/26/2023,ACLS,5055.2
1377,9/25/2023,ACLS,5176.3
1378,9/22/2023,ACLS,5130
1379,9/21/2023,ACLS,5072.3
1380,9/20/2023,ACLS,5350.2
1381,9/19/2023,ACLS,5472.6
1382,9/18/2023,ACLS,5531.1
1383,9/15/2023,ACLS,5489.4
1384,9/14/2023,ACLS,5870.4
1385,9/13/2023,ACLS,5851.4
1386,9/12/2023,ACLS,5865.1
1387,9/11/2023,ACLS,5812.6
