date,ticker,marketcap
2020-08-04,FORM,2317.2
2020-08-03,FORM,2324.5
2020-07-31,FORM,2196.5
2020-07-30,FORM,2349.6
2020-07-29,FORM,2300.8
2020-07-28,FORM,2248.3
2020-07-27,FORM,2330.6
2020-07-24,FORM,2269.6
2020-07-23,FORM,2385.4
2020-07-22,FORM,2395.3
2020-07-21,FORM,2412.0
2020-07-20,FORM,2448.6
2020-07-17,FORM,2348.8
2020-07-16,FORM,2325.2
2020-07-15,FORM,2346.9
2020-07-14,FORM,2391.5
2020-07-13,FORM,2371.7
2020-07-10,FORM,2415.9
2020-07-09,FORM,2436.4
2020-07-08,FORM,2426.5
2020-07-07,FORM,2362.5
2020-07-06,FORM,2404.4
2020-07-02,FORM,2409.0
2020-07-01,FORM,2233.1
2020-06-30,FORM,2233.8
2020-06-29,FORM,2140.1
2020-06-26,FORM,2073.1
2020-06-25,FORM,2232.3
2020-06-24,FORM,2227.7
2020-06-23,FORM,2285.2
2020-06-22,FORM,2274.2
2020-06-19,FORM,2246.0
2020-06-18,FORM,2274.2
2020-06-17,FORM,2315.7
2020-06-16,FORM,2223.2
2020-06-15,FORM,2041.9
2020-06-12,FORM,1917.8
2020-06-11,FORM,1893.4
2020-06-10,FORM,2096.7
2020-06-09,FORM,2132.5
2020-06-08,FORM,2074.6
2020-06-05,FORM,2080.0
2020-06-04,FORM,2025.9
2020-06-03,FORM,2008.4
2020-06-02,FORM,1924.6
2020-06-01,FORM,1923.8
2020-05-29,FORM,1917.0
2020-05-28,FORM,1882.7
2020-05-27,FORM,1951.3
2020-05-26,FORM,1913.9
2020-05-22,FORM,1837.8
2020-05-21,FORM,1852.3
2020-05-20,FORM,1919.3
2020-05-19,FORM,1855.3
2020-05-18,FORM,1838.5
2020-05-15,FORM,1770.0
2020-05-14,FORM,1823.3
2020-05-13,FORM,1781.4
2020-05-12,FORM,1821.8
2020-05-11,FORM,1878.9
2020-05-08,FORM,1925.4
2020-05-07,FORM,1910.9
2020-05-06,FORM,1797.1
2020-05-05,FORM,1742.3
2020-05-04,FORM,1707.6
2020-05-01,FORM,1714.9
2020-04-30,FORM,1774.3
2020-04-29,FORM,1890.0
2020-04-28,FORM,1792.5
2020-04-27,FORM,1763.6
2020-04-24,FORM,1720.9
2020-04-23,FORM,1693.5
2020-04-22,FORM,1711.8
2020-04-21,FORM,1612.1
2020-04-20,FORM,1724.0
2020-04-17,FORM,1768.2
2020-04-16,FORM,1813.1
2020-04-15,FORM,1708.0
2020-04-14,FORM,1669.2
2020-04-13,FORM,1609.0
2020-04-09,FORM,1628.8
2020-04-08,FORM,1618.9
2020-04-07,FORM,1563.3
2020-04-06,FORM,1554.2
2020-04-03,FORM,1352.4
2020-04-02,FORM,1419.4
2020-04-01,FORM,1443.8
2020-03-31,FORM,1529.8
2020-03-30,FORM,1586.9
2020-03-27,FORM,1538.2
2020-03-26,FORM,1602.2
2020-03-25,FORM,1497.8
2020-03-24,FORM,1476.5
2020-03-23,FORM,1315.1
2020-03-20,FORM,1268.6
2020-03-19,FORM,1292.2
2020-03-18,FORM,1316.6
2020-03-17,FORM,1527.5
2020-03-16,FORM,1282.3
2020-03-13,FORM,1522.2
2020-03-12,FORM,1414.1
2020-03-11,FORM,1590.0
2020-03-10,FORM,1641.8
2020-03-09,FORM,1579.3
2020-03-06,FORM,1704.2
2020-03-05,FORM,1731.6
2020-03-04,FORM,1774.3
2020-03-03,FORM,1696.6
2020-03-02,FORM,1724.8
2020-02-28,FORM,1703.4
2020-02-27,FORM,1705.0
2020-02-26,FORM,1781.1
2020-02-25,FORM,1746.1
2020-02-24,FORM,1763.6
2020-02-21,FORM,1853.4
2020-02-20,FORM,1915.2
2020-02-19,FORM,1962.9
2020-02-18,FORM,1944.7
2020-02-14,FORM,2035.6
2020-02-13,FORM,2062.8
